n_sbj,med_file_name,med_key_num,count_fr_responses,count_head_entery_port,count_lick_left,count_lick_left_iti,count_lick_left_trial,count_lick_right,count_lick_right_iti,count_lick_right_trial,count_np_active,count_np_active_iti,count_np_active_trial,count_np_inactive,count_np_inactive_iti,count_np_inactive_trial,count_port_lick,count_port_lick_iti,count_port_lick_trial,count_ratio_responses,count_rewards,count_trials,fixed_ratio,iti,max_rewards,np_active,pr_cut_off,reward_cue,reward_cue_duration,reward_duration,session_duration,experiment,start_date,subject
1,2021_06_30_aan,2,2.000,2.000,2.000,0.000,0.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,0.000,0.000,0.000,20.000,0.000,20.000,0.000,0.000,aan,06/30/21,aan09
2,2021_06_30_aan,2,1.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,20.000,0.000,20.000,0.000,0.000,aan,06/30/21,aan10
3,2021_06_30_aan,2,11.000,11.000,11.000,0.000,0.000,11.000,11.000,11.000,11.000,11.000,11.000,11.000,11.000,11.000,0.000,0.000,0.000,0.000,11.000,11.000,0.000,0.000,0.000,0.000,20.000,0.000,20.000,0.000,0.000,aan,06/30/21,aan11
4,2021_06_30_aan,2,698.000,698.000,698.000,0.000,0.000,698.000,698.000,698.000,698.000,698.000,698.000,698.000,698.000,698.000,0.000,0.000,0.000,0.000,698.000,698.000,0.000,0.000,0.000,0.000,20.000,0.000,20.000,0.000,0.000,aan,06/30/21,aan12
5,2021_06_30_aan,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,20.000,0.000,0.000,aan,06/30/21,aan13
6,2021_06_30_aan,2,38.000,38.000,38.000,0.000,0.000,38.000,38.000,38.000,38.000,38.000,38.000,38.000,38.000,38.000,0.000,0.000,0.000,0.000,38.000,38.000,0.000,0.000,0.000,0.000,20.000,0.000,20.000,0.000,0.000,aan,06/30/21,aan15
7,2021_06_30_aan,2,753.000,753.000,753.000,0.000,0.000,753.000,753.000,753.000,753.000,753.000,753.000,753.000,753.000,753.000,0.000,0.000,0.000,0.000,753.000,753.000,0.000,0.000,0.000,0.000,20.000,0.000,20.000,0.000,0.000,aan,06/30/21,aan16
